475,403,110,97,1703,342,69
604,576,95,100,2247,406,72
674,533,101,103,2132,392,75
506,527,94,103,1795,274,70
400,529,83,89,1555,299,78
541,600,145,87,1851,345,78
498,580,117,102,1527,310,68
560,589,178,89,1968,310,81
739,804,263,118,2107,346,100
683,716,182,87,2061,335,86
715,786,188,122,1926,411,120
1045,894,211,152,2001,468,153
993,1038,309,192,2293,680,196
749,829,285,107,1691,467,154
966,1107,343,173,1973,582,242
1053,1104,288,200,2033,584,215
926,1105,289,255,1623,716,280
967,1041,235,290,1553,806,321
967,1077,239,301,1603,920,297
1069,1013,200,312,1687,710,274
1160,1232,219,376,1636,906,301
996,1207,221,376,1570,949,343
1074,1190,217,416,1552,1001,355
1104,1157,173,437,1554,902,344
1208,1220,178,565,1566,1056,367
1237,1185,163,476,1586,883,336
1135,1106,192,563,1449,1022,357
1105,1167,190,613,1563,1058,343
1101,1124,160,609,1354,1045,353
1125,1164,166,565,1527,1004,358
985,1175,187,568,1755,939,311
1127,1360,189,540,1699,906,335
1090,1491,221,570,1702,1062,390
1223,1644,231,599,1912,1123,424
1159,1457,174,561,1993,978,408
1262,1630,194,532,2066,1006,386
1051,1445,210,475,1938,872,294
974,1525,208,492,1943,925,335
1042,1541,195,483,2180,931,249
1134,1456,183,480,2078,807,271
1270,1390,170,416,2214,776,240
1493,1688,241,479,2302,855,283
1743,1734,189,537,2284,867,260
1836,1893,247,808,2398,1208,348
2300,2213,365,1310,3053,1805,574
3444,2489,443,1375,3547,2028,726
4016,2972,471,1575,3717,2357,723
4803,2430,291,1131,3139,1740,542
4000,2138,233,1072,3065,1509,452
3385,1584,163,647,2838,1049,285
